Cross-Site Migration Probabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Probability of re-locating from one site to another, by life stage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Note:  Row Totals MUST sum to 1.  Column totals do not need to sum to 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fry,,To Site,,,,,,,,,,run-run,year-year,site-site ,within-Site,Future Target,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,Alpha.R,Alpha.T,Alpha.S,Alpha,1,2,3,4,5,6,7,8,9,10,Rate Parameter,,,Site #,Site Name,,,,,
,1,1,0,0,0,0,0,0,0,0,0,99,99,9999,9999,1,0,0,0,0,0,0,0,0,0,0,,,1,S-UpperMainstem&Tribs,,,,,
From Site,2,0,1,0,0,0,0,0,0,0,0,99,99,9999,9999,0,1,0,0,0,0,0,0,0,0,0,,,2,S-MuddyClearPineComplex,,,,,
,3,0,0,1,0,0,0,0,0,0,0,99,99,9999,9999,0,0,1,0,0,0,0,0,0,0,0,,,3,S-SwiftReservoir,,,,,
,4,0,0,0,1,0,0,0,0,0,0,99,99,9999,9999,0,0,0,1,0,0,0,0,0,0,0,,,4,S-ReservoirTribs,,,,,
,5,0,0,0,0,1,0,0,0,0,0,99,99,9999,9999,0,0,0,0,1,0,0,0,0,0,0,,,5,Y-YaleLake,,,,,
,6,0,0,0,0,0,1,0,0,0,0,9999,9999,9999,9999,0,0,0,0,0,1,0,0,0,0,0,,,6,Y-NorthYLTribs,,,,,
,7,0,0,0,0,0,0,1,0,0,0,9999,9999,9999,9999,0,0,0,0,0,0,1,0,0,0,0,,,7,Y-SouthYLTribs,,,,,
,8,0,0,0,0,0,0,0,1,0,0,9999,9999,9999,9999,0,0,0,0,0,0,0,1,0,0,0,,,8,M-LakeMerwin,,,,,
,9,0,0,0,0,0,0,0,0,1,0,9999,9999,9999,9999,0,0,0,0,0,0,0,0,1,0,0,,,9,M-LMTribs,,,,,
,10,0,0,0,0,0,0,0,0,0,1,9999,9999,9999,9999,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parr,1,1,0,0,0,0,0,0,0,0,0,99,99,9999,9999,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
From Site,2,0,1,0,0,0,0,0,0,0,0,99,99,9999,9999,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,
,3,0,0,1,0,0,0,0,0,0,0,99,99,9999,9999,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,
,4,0,0,0,1,0,0,0,0,0,0,99,99,9999,9999,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,
,5,0,0,0,0,1,0,0,0,0,0,99,99,9999,9999,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,
,6,0,0,0,0,0,1,0,0,0,0,9999,9999,9999,9999,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,
,7,0,0,0,0,0,0,1,0,0,0,9999,9999,9999,9999,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,
,8,0,0,0,0,0,0,0,1,0,0,9999,9999,9999,9999,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,
,9,0,0,0,0,0,0,0,0,1,0,9999,9999,9999,9999,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,
,10,0,0,0,0,0,0,0,0,0,1,9999,9999,9999,9999,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PreSmolts,1,1,0,0,0,0,0,0,0,0,0,99,99,9999,9999,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
From Site,2,0,1,0,0,0,0,0,0,0,0,99,99,9999,9999,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,
,3,0,0,1,0,0,0,0,0,0,0,99,99,9999,9999,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,
