Site,SubPop,Egg,Fry,Parr,PreSmolt,Smolt,Adult_Y0,Adult_Y1,Adult_Y2,Adult_Y3,Adult_Y4,Adult_Y5,Adult_Y6,Adult_Y7,Adult_Y8,Adult_Y9,Adult_Y10,Pre.SmoltY1,Pre.SmoltY2,Pre.SmoltY3,Pre.SmoltY4,Pre.SmoltY5,Pre.SmoltY6,Pre.SmoltY7,Pre.SmoltY8,Pre.SmoltY9,Pre.SmoltY10
S-MuddyClearPineComplex,Natural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-MuddyClearPineComplex,H1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-MuddyClearPineComplex,N.H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-MuddyClearPineComplex,H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-MuddyClearPineComplex,N-N.H3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-MuddyClearPineComplex,N-H3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-MuddyClearPineComplex,N.H3-H3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-MuddyClearPineComplex,N.H3-H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-MuddyClearPineComplex,H3-H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-MuddyClearPineComplex,H3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-MuddyClearPineComplex,N.H3-N.H3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
